Empresa,Ano,Mes,Consumo de Energia Elétrica (MWh),Receita de Fornecimento de Energia Elétrica (R$),Receita de Fornecimento de Energia Elétrica com Tributos (R$),Número de Unidades Consumidoras,Tarifa Média de Fornecimento (R$/MWh),Tarifa Média de Fornecimento com Tributos (R$/MWh)
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,01,273665.37999999995,53563506.42999999,71420785.33000001,674907,195.72627867653557,260.9785181085018
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,02,271098.37,51843522.94,69042735.69999999,677238,191.23509647070176,254.67779721434692
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,03,299294.27999999997,55743017.839999996,74538497.52,679503,186.2481897081361,249.04751778082763
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,04,300919.94,60434778.75999999,80433428.25000001,682596,200.83341356508308,267.2917861475049
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,05,311400.28,73523193.95,98334850.13,685435,236.10509903844658,315.7827929056454
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,06,307087.36999999994,72102391.47,95136203.46000001,688780,234.79438919939955,309.8017461935996
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,07,317273.01000000007,72200366.85,95293824.18000002,691477,227.56542338725876,300.35275985183864
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,08,319866.06,73724617.93,97376005.67000002,694639,230.485903787354,304.42743962894974
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,09,314372.49,72930997.26,96190541.92999998,697690,231.98911984951357,305.97633377526125
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,10,326875.00999999995,77708175.33,103088747,701818,237.73054823004063,315.3766542140986
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,11,314470.97,75760131.7,100267353.11,705550,240.91295835669666,318.84454425157276
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2003,12,308729.73000000004,72982444.35,96639083.44,706456,236.3959063806391,313.0216304079299
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2004,01,287555.63999999996,70823707.09,93401208.99,715310,246.2956633018918,324.8109096034423
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2004,02,291062.34,69142356.2,91040707.78999999,712999,237.55170868206446,312.7876584445792
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2004,03,328887,76401403.00999999,101135514.26,715870,232.3028973781268,307.50839729147094
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2004,04,345651.73,83945089.66999999,111127051.23999998,718816,242.86031975017164,321.50005799189836
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2004,05,323649.17999999993,88191020.59999998,116308703.30000001,721573,272.48955365806887,359.3665934824863
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2004,06,309777.67000000004,84381593.06000002,110776305.9,725717,272.3940465431224,357.5993902336472
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2004,07,333736.58,89697822.68,118548360.87000002,728880,268.7683282425918,355.21536437510093
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2004,08,324664.06999999995,86978843.68,114151741.49999999,733680,267.9041252701601,351.5995518075037
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2004,09,347550.58,94962506.06999998,125124658.61000001,739895,273.23362852681754,360.01855790314033
EMT - ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2004,10,345893.97,96505372.90999998,127616933.88,741385,279.00276177118667,368.9481313594452
